startskog,metod,ålder,Alla matsvampar,Goda matsvampar,Signal + rödlistade,Atheliales,Boletales,Cantharellales,Cortinariaceae,Russulales,Thelephorales,Ascomyceter,Övriga svampar,Mängd mykorrhiza
kalavverkad,skärm,0.1,18.85,6.84,0.159789,13.23370787,6.674157303,0.4,9.337078652,8.359550562,5.366292135,13.57752809,2.68988764,60
kalavverkad,skärm,10,18.525,6.515,0.16223625,17.92424242,7.8,0.42,8.863636364,9.001515152,5.554545455,13.25606061,1.812121212,65
kalavverkad,skärm,10.1,10.64,3.784,0.1,11.38461538,4.8,0.3,4.923076923,4.830769231,4.215384615,8.246153846,1.2,40
kalavverkad,skärm,20,14,4.92,0.11,18.56470588,8.047058824,0.33,7.482352941,7.235294118,3.423529412,12.84705882,2.170588235,60
kalavverkad,skärm,20.1,10,3.25,0.07,16.5,7,0.25,5.5,5,3.423529412,11,1.875,50
kalavverkad,skärm,30,18,6.3,0.11,28.8,11.7,0.34,10.35,9.9,5.4,22.5,2.25,90
kalavverkad,skärm,40,23,8.625,0.123,36.8,14.95,0.47,13.225,12.65,6.9,27.6,2.53,115
kalavverkad,skärm,50,24,9.6,0.12801,36,15.6,0.72,14.4,15.6,7.2,27.6,3,120
kalavverkad,skärm,60,24,9.6,0.13554,34.8,14.4,0.792,15.6,16.8,6.6,28.2,3.4,120
kalavverkad,skärm,70,24.15,9.2,0.13710875,32.775,13.8,0.76705,15.525,17.25,5.98,25.3,3.703,115
kalavverkad,skärm,80,24.84,9.18,0.13554,30.24,12.96,0.69984,15.12,17.28,5.4,22.68,3.672,108
kalavverkad,skärm,90,25.75,8.755,0.13572825,27.81,12.36,0.689585,15.45,16.995,5.15,21.115,3.4505,103
kalavverkad,skärm,100,26,9,0.13805,26,12,0.7,16,17,5,20,3.3,100
kalavverkad,ingen åtgärd,-7,26,9,0.3,26,12,0.7,16,17,5,20,3.3,100
kalavverkad,ingen åtgärd,0,26,9,0.3,26,12,0.7,16,17,5,20,3.3,100
kalavverkad,ingen åtgärd,10,26,9,0.3,26,12,0.7,16,17,5,20,3.3,100
kalavverkad,ingen åtgärd,20,26,9,0.3,26,12,0.7,16,17,5,20,3.3,100
kalavverkad,ingen åtgärd,30,26,9,0.3,26,12,0.7,16,17,5,20,3.3,100
kalavverkad,ingen åtgärd,40,26,9,0.3,26,12,0.7,16,17,5,20,3.3,100
kalavverkad,ingen åtgärd,50,26,9,0.3,26,12,0.7,16,17,5,20,3.3,100
kalavverkad,ingen åtgärd,60,26,9,0.3,26,12,0.7,16,17,5,20,3.3,100
kalavverkad,ingen åtgärd,70,26,9,0.3,26,12,0.7,16,17,5,20,3.3,100
kalavverkad,ingen åtgärd,80,26,9,0.3,26,12,0.7,16,17,5,20,3.3,100
kalavverkad,ingen åtgärd,90,26,9,0.3,26,12,0.7,16,17,5,20,3.3,100
kalavverkad,ingen åtgärd,100,26,9,0.3,26,12,0.7,16,17,5,20,3.3,100
Inte kalavverkad,trakthygge,-7,32,10,0.6,19,11,0.7,25,23,3,17,1.3,100
Inte kalavverkad,trakthygge,0,32,10,0.6,19,11,0.7,25,23,3,17,1.3,100
Inte kalavverkad,trakthygge,0.1,0.75,0.3,0.002,0.85,0.5,0.2,0.75,0.5,0.7,1.3,0.3,5
Inte kalavverkad,trakthygge,10,2.55,0.93,0.005,4.5,1.8,0.2,1.5,1.35,2.1,3.15,0.3,15
Inte kalavverkad,trakthygge,20,12,3.9,0.04,19.8,8.4,0.25,6.6,6,3.6,13.2,2,60
Inte kalavverkad,trakthygge,30,24,8.4,0.095,38.4,15.6,0.36,13.8,12,7.2,30,2.5,120
Inte kalavverkad,trakthygge,40,24.6,9.225,0.1184,39.36,15.99,0.45,14.145,14,7.38,29.52,2.706,123
Inte kalavverkad,trakthygge,50,24.2,9.68,0.12285,36.3,15.73,0.605,14.52,15.73,7.26,29,3.025,121
Inte kalavverkad,trakthygge,60,24,9.6,0.128,34.8,14.4,0.66,15.6,16.8,6.6,28.2,3.3,120
Inte kalavverkad,trakthygge,70,24.15,9.2,0.12925,32.775,13.8,0.667,15.525,17.25,5.98,25.3,3.703,115
Inte kalavverkad,trakthygge,80,24.84,9.18,0.128,30.24,12.96,0.648,15.12,17.28,5.4,22.68,3.672,108
Inte kalavverkad,trakthygge,90,25.75,8.755,0.12815,27.81,12.36,0.6695,15.45,16.995,5.15,21.115,3.4505,103
Inte kalavverkad,trakthygge,100,26,9,0.13,26,12,0.7,16,17,5,20,3.3,100
Inte kalavverkad,blädning,-7,32,10,0.6,19,11,0.7,25,23,3,17,1.3,100
Inte kalavverkad,blädning,0,32,10,0.6,19,11,0.7,25,23,3,17,1.3,100
Inte kalavverkad,blädning,0.1,22.77291667,7.125833333,0.397530833,16.75526992,9.701799486,0.629305913,18.70437018,20.19023136,2.744473008,15.08586118,1.188688946,85
Inte kalavverkad,blädning,10,24.3825,7.6395,0.4214925,18.04534005,10.30125945,0.689168766,19.54156171,21.10125945,3.101259446,15.98690176,1.23324937,90
Inte kalavverkad,blädning,20,27.23333333,8.534166667,0.450395,20.14965358,11.12794457,0.640646651,19.8073903,21.23787529,3.264665127,17.23602771,1.535796767,95
Inte kalavverkad,blädning,30,30.66666667,9.733333333,0.4829,22.18711019,11.74220374,0.641995842,19.96673597,21.32224532,3.692307692,19.12681913,1.320582121,100
